year,rank,uri,wk_title,wk_artist,sp_title,sp_artist
2022,2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,As It Was,['Harry Styles']
2022,3,spotify:track:6uG7nfOe4MsYrdDUEe9KkX,Stay,The Kid Laroi and Justin Bieber,Jump!,"['Zakariah', 'Blessid Union Of Souls']"
2022,4,spotify:track:46IZ0fSY2mpAiktS3KOqds,Easy on Me,Adele,Easy On Me,['Adele']
2022,5,spotify:track:50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,Shivers,['Ed Sheeran']
2022,6,spotify:track:0wHFktze2PHC5jDt3B17DC,First Class,Jack Harlow,First Class,['Jack Harlow']
2022,7,spotify:track:6Zu3aw7FfjAF9WA0fA81Oq,Big Energy,Latto,Big Energy,['Latto']
2022,8,spotify:track:6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,Ghost,['Justin Bieber']
2022,9,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,Super Gremlin,Kodak Black,Super Gremlin,['Kodak Black']
2022,10,spotify:track:7rglLriMNBPAyuJOMGwi39,Cold Heart (Pnau Remix),Elton John and Dua Lipa,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']"
2022,11,spotify:track:59nOXPmaKlBfGMDeOVGrIK,Wait for U,Future  Drake and Tems,WAIT FOR U (feat. Drake & Tems),"['Future', 'Drake', 'Tems']"
2022,12,spotify:track:1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,About Damn Time,['Lizzo']
2022,13,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,Bad Habits,['Ed Sheeran']
2022,14,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Thats What I Want,Lil Nas X,THATS WHAT I WANT,['Lil Nas X']
2022,15,spotify:track:6Cydun8JbA2xA9fzzakWwY,Enemy,Imagine Dragons and JID,Enemy (Imagine Dragons and JID) - Piano Version,['Grim Cat Piano']
2022,16,spotify:track:1q7iN7clOcjbVqe2wH8AFo,Industry Baby,Lil Nas X and Jack Harlow,Industry Baby (Originally Performed by Lil Nas X and Jack Harlow),['3 Dope Brothas']
2022,17,spotify:track:4fouWK6XVHhzl78KzQ1UjL,ABCDEFU,Gayle,abcdefu,['GAYLE']
2022,18,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat,Need to Know,['Doja Cat']
2022,19,spotify:track:3cBsEDNhFI9E82vPj3kvi3,Wasted on You,Morgan Wallen,Wasted On You,['Morgan Wallen']
2022,20,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny and Chencho Corleone,Me Porto Bonito,"['Bad Bunny', 'Chencho Corleone']"
2022,21,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,Woman,['Doja Cat']
2022,22,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,Tití Me Preguntó,['Bad Bunny']
2022,23,spotify:track:1PtQJZVZIdWIYdARpZRDFO,Running Up That Hill (A Deal with God),Kate Bush,Running Up That Hill (A Deal With God),['Kate Bush']
2022,24,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast",We Don't Talk About Bruno,"['Carolina Gaitán', 'Mauro Castillo', 'Adassa', 'Rhenzy Feliz', 'Diane Guerrero', 'Stephanie Beatriz', 'Encanto - Cast']"
