year,rank,id,uri,track_href,analysis_url,wk_title,wk_artist,sp_title,sp_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
1979,37,3kovBaZ1LGLH1PL31qG7cL,spotify:track:3kovBaZ1LGLH1PL31qG7cL,https://api.spotify.com/v1/tracks/3kovBaZ1LGLH1PL31qG7cL,https://api.spotify.com/v1/audio-analysis/3kovBaZ1LGLH1PL31qG7cL,I Was Made for Dancin',Leif Garrett,I Was Made for Dancin',['Leif Garrett'],0.689,0.584,11.0,-13.957,0.0,0.0314,0.0319,0.00275,0.327,0.837,127.132,audio_features,196440.0,4.0
1979,38,3cfnGXJ9bmiWvFqEO6ff8B,spotify:track:3cfnGXJ9bmiWvFqEO6ff8B,https://api.spotify.com/v1/tracks/3cfnGXJ9bmiWvFqEO6ff8B,https://api.spotify.com/v1/audio-analysis/3cfnGXJ9bmiWvFqEO6ff8B,After the Love Has Gone,"Earth, Wind & Fire",After the Love Has Gone,"['Earth, Wind & Fire']",0.424,0.443,6.0,-13.45,1.0,0.0382,0.532,0.000389,0.673,0.391,131.675,audio_features,278040.0,4.0
1979,39,7G4GKwM86bxF6Tvp0PWvry,spotify:track:7G4GKwM86bxF6Tvp0PWvry,https://api.spotify.com/v1/tracks/7G4GKwM86bxF6Tvp0PWvry,https://api.spotify.com/v1/audio-analysis/7G4GKwM86bxF6Tvp0PWvry,Heaven Knows,Donna Summer and Brooklyn Dreams,Heaven Knows,"['Donna Summer', 'Brooklyn Dreams']",0.686,0.72,8.0,-10.858,1.0,0.0542,0.141,0.0,0.357,0.933,131.395,audio_features,227107.0,4.0
1979,40,5KqldkCunQ2rWxruMEtGh0,spotify:track:5KqldkCunQ2rWxruMEtGh0,https://api.spotify.com/v1/tracks/5KqldkCunQ2rWxruMEtGh0,https://api.spotify.com/v1/audio-analysis/5KqldkCunQ2rWxruMEtGh0,The Gambler,Kenny Rogers,The Gambler,['Kenny Rogers'],0.668,0.501,4.0,-13.119,1.0,0.0629,0.342,0.0,0.194,0.858,87.086,audio_features,214880.0,4.0
1979,41,2bS2tETCzUmjALnXEvhOGo,spotify:track:2bS2tETCzUmjALnXEvhOGo,https://api.spotify.com/v1/tracks/2bS2tETCzUmjALnXEvhOGo,https://api.spotify.com/v1/audio-analysis/2bS2tETCzUmjALnXEvhOGo,Lotta Love,Nicolette Larson,Lotta Love,['Nicolette Larson'],0.646,0.406,5.0,-15.616,0.0,0.0264,0.159,0.00114,0.27,0.895,113.708,audio_features,191773.0,4.0
1979,42,3TOxpVbriEc0meXrQ79FBr,spotify:track:3TOxpVbriEc0meXrQ79FBr,https://api.spotify.com/v1/tracks/3TOxpVbriEc0meXrQ79FBr,https://api.spotify.com/v1/audio-analysis/3TOxpVbriEc0meXrQ79FBr,Lady,Little River Band,Lady,['Little River Band'],0.629,0.529,2.0,-8.353,1.0,0.0284,0.445,4.83e-06,0.0747,0.298,117.016,audio_features,311960.0,4.0
1979,43,4KBLF8z7Hv7RIHjetaTCfD,spotify:track:4KBLF8z7Hv7RIHjetaTCfD,https://api.spotify.com/v1/tracks/4KBLF8z7Hv7RIHjetaTCfD,https://api.spotify.com/v1/audio-analysis/4KBLF8z7Hv7RIHjetaTCfD,Heaven Must Have Sent You,Bonnie Pointer,Heaven Must Have Sent You,['Bonnie Pointer'],0.828,0.605,0.0,-12.285,1.0,0.0393,0.134,0.000147,0.0388,0.921,128.613,audio_features,214067.0,4.0
1979,44,4aVuWgvD0X63hcOCnZtNFA,spotify:track:4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/tracks/4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/audio-analysis/4aVuWgvD0X63hcOCnZtNFA,Hold the Line,Toto,Hold the Line,['TOTO'],0.473,0.898,6.0,-4.797,0.0,0.0561,0.00783,0.0618,0.173,0.808,96.556,audio_features,235547.0,4.0
1979,45,5WwRKYnVy9dekqXAGPbAvU,spotify:track:5WwRKYnVy9dekqXAGPbAvU,https://api.spotify.com/v1/tracks/5WwRKYnVy9dekqXAGPbAvU,https://api.spotify.com/v1/audio-analysis/5WwRKYnVy9dekqXAGPbAvU,He's the Greatest Dancer,Sister Sledge,He's the Greatest Dancer - 1995 Remaster,['Sister Sledge'],0.7,0.816,7.0,-9.711,0.0,0.044,0.00115,0.00123,0.0901,0.838,113.244,audio_features,375400.0,4.0
1979,46,4M0m4FUdc4wD2guhUHogLF,spotify:track:4M0m4FUdc4wD2guhUHogLF,https://api.spotify.com/v1/tracks/4M0m4FUdc4wD2guhUHogLF,https://api.spotify.com/v1/audio-analysis/4M0m4FUdc4wD2guhUHogLF,Sharing the Night Together,Dr. Hook,Sharing The Night Together,['Dr. Hook'],0.619,0.686,1.0,-9.014,0.0,0.0615,0.644,0.0,0.0996,0.757,76.923,audio_features,174533.0,4.0
